taptargetview-1.13.0	com/getkeepsafe/taptargetview
tensorflow-android-1.8.0	org/tensorflow
texturevideoview-1.2.1	com/sprylab/android/widget
threetenabp-1.2.1	com/jakewharton/threetenabp
timber-4.7.1	timber
timber-5.0.1	timber
TimetableUI-1.0-SNAPSHOT	me/yaoandy107/ntut_timetable
TimetableView-1.0-SNAPSHOT	com/github/tlaabs/timetableview
TouchImageView-2.1	com/ortiz/touch
TouchImageView-3.1.0	com/ortiz/touchview
tracedroid-4.0	
twitter-text-3.1.0	com/twitter/twittertext
unbescape-1.1.6.RELEASE	org/unbescape
universal-image-loader-1.9.5	com/nostra13/universalimageloader
UsbSerial-6.1.0	com/felhr
viewpagerdotsindicator-4.1.2	com/tbuonomo/viewpagerdotsindicator
viewtooltip-1.2.2	com/github/florent37/viewtooltip
volley-1.2.0	com/android/volley
volley-1.2.1	com/android/volley
webpsupport-2.3.0	com/facebook
xmlbeans-2.4.0	org/apache/xmlbeans
xstream-1.4.7	com/thoughtworks/xstream
xz-1.8	org/tukaani/xz
zbar-1.9.13	me/dm7/barcodescanner/zbar
zoomage-1.3.1	com/jsibbold/zoomage
zxing-1.8.4	me/dm7/barcodescanner/zxing
zxing-1.9.13	me/dm8/barcodescanner/zxing
zxing-android-embedded-3.4.0	com/google/zxing
zxing-android-embedded-4.1.0	com/google/zxing
